season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
14,304,6,Luke,"The BAU heads to Bethesda, Md., to investigate four murders in the span of three days along the eastern seaboard. The crimes become personal for Alvez, when the team discovers there are ties to his time spent five years ago working alongside the DEA and the Mexican police force in pursuit of the most notorious hitman in Mexico. Also, Alvez and his girlfriend, Lisa, decide to move in together.",2018-11-07,Joe Mantegna,Erik Stiller,7.4,883,4.56
14,305,7,Twenty Seven,It's a race against the clock for the BAU to capture the vigilantes behind a series of attacks taking place every 27 minutes in the nation's capital. Prentiss and Unit Chief Andrew Mendoza lead the effort to identify the Unsubs and what's motivating them.,2018-11-14,Sharat Raju,Erica Meredith,7.7,830,4.52
14,306,8,Ashley,"The BAU investigates a double homicide and kidnapping in New Hampshire. Also, Rossi's plans to elevate his relationship with Krystall don't go as planned.",2018-11-21,Adam Rodriguez,Stephanie Birkitt,7.5,782,5.5
14,307,9,Broken Wing,A professor from Lewis' past tips off the BAU to an alarming number of overdose deaths of patients who just completed rehab.,2018-12-05,Aisha Tyler,Jim Clemente,7.3,722,4.5
14,308,10,Flesh and Blood,Prentiss plans a first date with Mendoza but the evening is cut short. Prentiss faces her past when the team investigates murders of businessmen who have had their hearts taken.,2018-12-12,Glenn Kershaw,Christopher Barbour,7.4,730,5.43
14,309,11,Night Lights,"The BAU team heads to Portland, Ore., to investigate a chilling abduction that may be linked to a local couple killed in their home a week earlier.",2019-01-02,Nelson McCormick,Heather Nöel Aldridge,7.3,697,4.92
14,310,12,Hamelin,"Prentiss and the BAU team fly to Iowa to investigate the disappearance of three 10-year-old children who appear to have been abducted from their homes in the middle of the night, with surveillance video from a neighborhood park as their only lead to finding the children's whereabouts.",2019-01-09,Simon Mirren,Bruce Zimmerman,7.4,759,4.55
14,311,13,Chameleon,Rossi questions his actions in the aftermath of a near-death struggle with a serial killer who appears to have outsmarted the BAU.,2019-01-23,A.J. Cook,Charles Dewey & Breen Frazier,8.1,884,4.45
14,312,14,Sick and Evil,"The BAU leads the investigation into a string of murders taking place in supposedly haunted houses in Lewiston, Maine.",2019-01-30,Rob Bailey,Erik Stiller,7.1,638,4.73
14,313,15,Truth or Dare,"Wedding bells are ringing as Rossi prepares to marry Krystall. But first, the BAU team travels to Los Angeles to investigate a series of fatal shootings in broad daylight following car accidents.",2019-02-06,Glenn Kershaw,Erica Meredith,7.6,877,4.72
